layout_is_quinconce,rows,cols,num_trees,spacing_x,spacing_y,wind_speed,wind_angle_deg,wind_oscillation_deg,wind_frequency,progressive_edge,sim_duration_sec,mean_stress,max_stress,min_stress,var_stress,std_stress
0,3,5,15,7.659969709057026,6.993292420985183,19.680559213273096,56.158027321032954,12.03292642588698,0.7197056874649612,0,0.8966927081346512,0.04041548913471392,0.052274725392549286,0.024868098115487982,0.00010896862664083956,0.010438803889375427
1,5,4,20,4.282057895135502,7.609993861334123,43.15658127047251,0.2803557027651582,44.727404575192615,0.57048890577663,0,1.2256497079506516,0.07108665633570331,0.09478396173843917,0.03837215743330669,0.00035965839762004876,0.01896466181138089
1,3,3,9,5.456145700990209,7.059264473611897,19.184815819561255,105.17207347267853,22.82266451527921,0.4736419905302216,1,0.5397830838337541,0.016502513158610583,0.04033385706122933,0.001763370742984582,0.0001911308164090048,0.013825006922566252
1,5,5,25,8.916154429033941,6.333814466239899,40.798212202089616,244.9107138916007,25.767473818934004,0.20795897669591992,1,1.5320811669807881,0.032163537148795884,0.07405295934235515,0.0018266471868370927,0.00048361394239413645,0.021991224213175047
1,4,4,16,5.927082512699581,4.079831261101071,21.92681476866447,86.76916776936422,33.91422315889104,0.5659979946695726,0,0.8987233750522137,0.0431301618861841,0.06680286850807227,0.0205219907813551,0.00019904390131632944,0.014108291934757001
0,5,4,20,5.955303037866204,4.9111804389403115,37.66084230952957,153.0561148168481,17.27795820038661,0.5406201966919949,1,1.3238297498319298,0.0386535179582349,0.0733659830747761,0.003908881080007478,0.0006697990637427828,0.025880476497599166
0,4,4,16,6.248770666848828,5.975751180009072,42.79976597381383,261.8179185083115,21.42892690820424,0.5422663846432397,0,0.9494415000081062,0.06186273904845192,0.08846607336527733,0.03084508766028718,0.00032021099873456605,0.01789444044206373
0,4,3,12,5.94338644844741,5.356745158869479,39.86212527455788,128.43119760969213,19.832707839058326,0.5256176498949492,1,0.7758755411487073,0.02981048937873627,0.06847236291093131,0.004210124720869704,0.0006450144424449797,0.025397134532166805
0,5,3,15,4.372753218398854,8.934434683002586,38.16734307889972,71.53764535230206,10.193274099326084,0.6892768570729005,1,0.9533330830745399,0.035077507174670106,0.08140120446189222,0.002683733418585657,0.001003255860157952,0.03167421443631952
1,5,5,25,7.856351733429729,4.3702232586704515,25.753971856328178,41.7128614290467,40.208619905645776,0.5739788760965349,0,1.6420357499737293,0.05035261565074531,0.08135965456370618,0.02250272011819816,0.0004027532166389597,0.02006871238119077
